Latitude;Longitude;Speed;Time (absolute)
-2244.234700;-4732.080400;0.037040;1543678796.962393
-2244.234700;-4732.080400;0.111120;1543678797.054278
-2244.234700;-4732.080400;0.111120;1543678797.156347
-2244.234700;-4732.080400;0.074080;1543678797.282680
-2244.234700;-4732.080400;0.074080;1543678797.386253
-2244.234700;-4732.080400;0.592640;1543678797.498368
-2244.234700;-4732.080400;0.592640;1543678797.612719
-2244.234700;-4732.080400;8.408080;1543678797.726546
-2244.234700;-4732.080800;13.371440;1543678797.834611
-2244.234700;-4732.080800;13.371440;1543678797.934619
-2244.234800;-4732.081300;17.834760;1543678798.058314
-2244.234800;-4732.081300;17.834760;1543678798.172583
-2244.234800;-4732.082000;22.131400;1543678798.294754
-2244.234800;-4732.082000;22.131400;1543678798.402697
-2244.234900;-4732.082800;26.316920;1543678798.490694
-2244.234900;-4732.082800;26.316920;1543678798.626478
-2244.235000;-4732.083700;29.409760;1543678798.723941
-2244.235000;-4732.083700;29.409760;1543678798.823922
-2244.235100;-4732.084700;31.928480;1543678798.938064
-2244.235200;-4732.085700;32.243320;1543678799.018377
-2244.235200;-4732.085700;32.243320;1543678799.122415
-2244.235200;-4732.085700;32.243320;1543678799.233180
-2244.235400;-4732.086800;35.354680;1543678799.335463
-2244.235800;-4732.088000;38.614200;1543678799.453761
-2244.235800;-4732.088000;38.614200;1543678799.573683
-2244.236200;-4732.089200;40.540280;1543678799.694075
-2244.236200;-4732.089200;40.540280;1543678799.813063
-2244.236700;-4732.090500;40.410640;1543678799.894780
-2244.236700;-4732.090500;40.410640;1543678799.998313
-2244.237400;-4732.091600;40.984760;1543678800.110210
-2244.237400;-4732.091600;40.984760;1543678800.218361
-2244.238400;-4732.092600;44.003520;1543678800.333652
-2244.239700;-4732.093300;45.651800;1543678800.438680
-2244.239700;-4732.093300;45.651800;1543678800.574281
-2244.241200;-4732.093700;46.411120;1543678800.698539
-2244.241200;-4732.093700;46.411120;1543678800.798090
-2244.242700;-4732.094100;47.522320;1543678800.906881
-2244.242700;-4732.094100;47.522320;1543678801.042565
-2244.244200;-4732.094300;49.133560;1543678801.118216
-2244.244200;-4732.094300;49.133560;1543678801.242218
-2244.245900;-4732.094300;52.744960;1543678801.357374
-2244.245900;-4732.094300;52.744960;1543678801.444238
-2244.247700;-4732.094200;54.893280;1543678801.546770
-2244.249500;-4732.094100;58.671360;1543678801.670313
-2244.249500;-4732.094100;58.671360;1543678801.778207
-2244.251500;-4732.094100;57.726840;1543678801.893383
-2244.251500;-4732.094100;57.726840;1543678802.002503
-2244.253300;-4732.094000;60.912280;1543678802.121418
-2244.255400;-4732.093900;66.375680;1543678802.254695
-2244.255400;-4732.093900;66.375680;1543678802.362545
-2244.257800;-4732.093800;71.487200;1543678802.462626
-2244.257800;-4732.093800;71.487200;1543678802.570688
-2244.260000;-4732.093500;73.450320;1543678802.681127
-2244.260000;-4732.093500;73.450320;1543678802.813644
-2244.262200;-4732.093300;73.394760;1543678802.931050
-2244.262200;-4732.093300;73.394760;1543678803.031153
-2244.264400;-4732.093000;73.079920;1543678803.134369
-2244.266400;-4732.092700;69.061080;1543678803.273134
-2244.266400;-4732.092700;69.061080;1543678803.374706
-2244.268100;-4732.092300;61.449360;1543678803.500656
-2244.268100;-4732.092300;61.449360;1543678803.589050
-2244.269700;-4732.091800;52.078240;1543678803.694889
-2244.269700;-4732.091800;52.078240;1543678803.812754
-2244.271100;-4732.091100;54.837720;1543678803.914680
-2244.271100;-4732.091100;54.837720;1543678804.035009
-2244.272500;-4732.090500;52.596800;1543678804.119163
-2244.274100;-4732.090200;54.226560;1543678804.244573
-2244.274100;-4732.090200;54.226560;1543678804.390537
-2244.275500;-4732.089900;50.152160;1543678804.461489
-2244.275500;-4732.089900;50.152160;1543678804.592901
-2244.276700;-4732.090300;43.688680;1543678804.694416
-2244.276700;-4732.090300;43.688680;1543678804.812038
-2244.278100;-4732.090700;43.781280;1543678804.914951
-2244.279400;-4732.091100;44.225760;1543678805.046573
-2244.279400;-4732.091100;44.225760;1543678805.138222
-2244.280600;-4732.091200;44.336880;1543678805.268428
-2244.280600;-4732.091200;44.336880;1543678805.358492
-2244.282000;-4732.091000;46.022200;1543678805.485457
-2244.282000;-4732.091000;46.022200;1543678805.565433
-2244.283300;-4732.090800;44.911000;1543678805.686305
-2244.283300;-4732.090800;44.911000;1543678805.785304
-2244.284600;-4732.090300;44.892480;1543678805.887355
-2244.284600;-4732.090300;44.892480;1543678805.994854
-2244.285900;-4732.089800;44.892480;1543678806.095102
-2244.285900;-4732.089800;44.892480;1543678806.210575
-2244.287200;-4732.089600;44.762840;1543678806.311983
-2244.287200;-4732.089600;44.762840;1543678806.415761
-2244.288500;-4732.089600;44.781360;1543678806.534935
-2244.290000;-4732.090100;46.151840;1543678806.674101
-2244.290000;-4732.090100;46.151840;1543678806.746461
-2244.291400;-4732.090600;47.985320;1543678806.890435
-2244.291400;-4732.090600;47.985320;1543678807.010633
-2244.292900;-4732.090900;48.596480;1543678807.120718
-2244.292900;-4732.090900;48.596480;1543678807.232447
-2244.294400;-4732.091100;49.707680;1543678807.338396
-2244.296000;-4732.090900;51.744880;1543678807.442178
-2244.296000;-4732.090900;51.744880;1543678807.555883
-2244.297700;-4732.090500;53.004240;1543678807.685437
-2244.297700;-4732.090500;53.004240;1543678807.764975
-2244.299300;-4732.089900;54.948840;1543678807.883236
-2244.299300;-4732.089900;54.948840;1543678807.984034
-2244.301000;-4732.089400;56.911960;1543678808.094295
-2244.301000;-4732.089400;56.911960;1543678808.206082
-2244.302900;-4732.088700;60.986360;1543678808.323811
-2244.302900;-4732.088700;60.986360;1543678808.433650
-2244.304800;-4732.087800;65.560800;1543678808.562459
-2244.306600;-4732.086800;65.208920;1543678808.670723
-2244.306600;-4732.086800;65.208920;1543678808.779183
-2244.308300;-4732.085700;62.023480;1543678808.878255
-2244.308300;-4732.085700;62.023480;1543678808.978581
-2244.309800;-4732.084700;60.986360;1543678809.082458
-2244.309800;-4732.084700;60.986360;1543678809.193542
-2244.311300;-4732.083700;57.226800;1543678809.298690
-2244.311300;-4732.083700;57.226800;1543678809.407007
-2244.312700;-4732.083100;58.986200;1543678809.507121
-2244.312700;-4732.083100;58.986200;1543678809.612895
-2244.314000;-4732.082700;50.615160;1543678809.716761
-2244.314000;-4732.082700;50.615160;1543678809.826633
-2244.315200;-4732.082600;44.966560;1543678809.931335
-2244.316500;-4732.082400;43.447920;1543678810.036888
-2244.316500;-4732.082400;43.447920;1543678810.144782
-2244.317600;-4732.082600;39.892080;1543678810.264747
-2244.317600;-4732.082600;39.892080;1543678810.367269
-2244.318800;-4732.083300;41.021800;1543678810.467330
-2244.318800;-4732.083300;41.021800;1543678810.568778
-2244.320100;-4732.084100;44.318360;1543678810.675991
-2244.320100;-4732.084100;44.318360;1543678810.769388
-2244.321400;-4732.084900;47.207480;1543678810.881814
-2244.321400;-4732.084900;47.207480;1543678810.996397
-2244.322700;-4732.085700;47.670480;1543678811.104250
-2244.322700;-4732.085700;47.670480;1543678811.212387
-2244.324000;-4732.086200;46.077760;1543678811.315322
-2244.324000;-4732.086200;46.077760;1543678811.415326
-2244.325000;-4732.086400;40.077280;1543678811.516226
-2244.325900;-4732.086600;34.113840;1543678811.630260
-2244.325900;-4732.086600;34.113840;1543678811.734874
-2244.325900;-4732.086600;34.113840;1543678811.836387
-2244.326800;-4732.086600;31.187680;1543678811.958032
-2244.327700;-4732.086500;30.780240;1543678812.065026
-2244.327700;-4732.086500;30.780240;1543678812.194187
-2244.328500;-4732.086100;28.539320;1543678812.298624
-2244.328500;-4732.086100;28.539320;1543678812.414226
-2244.328800;-4732.085300;27.076240;1543678812.526536
-2244.328800;-4732.084300;27.168840;1543678812.666319
-2244.328800;-4732.084300;27.168840;1543678812.773245
-2244.328600;-4732.083300;27.224400;1543678812.883371
-2244.328600;-4732.083300;27.224400;1543678812.980020
-2244.328500;-4732.082500;26.705840;1543678813.096467
-2244.328500;-4732.082500;26.705840;1543678813.197035
-2244.328100;-4732.081800;25.687240;1543678813.326516
-2244.328100;-4732.081800;25.687240;1543678813.422396
-2244.327800;-4732.081000;26.279880;1543678813.560418
-2244.327600;-4732.080100;27.409600;1543678813.642730
-2244.327600;-4732.080100;27.409600;1543678813.747246
-2244.327500;-4732.079100;28.335600;1543678813.860454
-2244.327500;-4732.079100;28.335600;1543678813.985571
-2244.327400;-4732.078200;28.391160;1543678814.106579
-2244.327400;-4732.078200;28.391160;1543678814.207208
-2244.327600;-4732.077300;27.242920;1543678814.309603
-2244.328000;-4732.076400;25.872440;1543678814.417640
-2244.328000;-4732.076400;25.872440;1543678814.519739
-2244.328200;-4732.075600;23.613000;1543678814.633237
-2244.328200;-4732.075600;23.613000;1543678814.729604
-2244.328300;-4732.074800;22.409200;1543678814.856490
-2244.328300;-4732.074800;22.409200;1543678814.976429
-2244.328300;-4732.074000;21.983240;1543678815.074482
-2244.328300;-4732.074000;21.983240;1543678815.179478
-2244.328200;-4732.073300;22.298080;1543678815.300560
-2244.328200;-4732.073300;22.298080;1543678815.418803
-2244.327800;-4732.072600;22.205480;1543678815.532733
